1	7	12	24	106
130006D1	1	0.988660536716372	0.621192791845423	0.0725488886576201	0.00353615225913639
130008D1	1	0.703641314685165	0.514240209295079	0.0651523934982429	0.000989604156900076
130009D1	1	0.678097846122352	0.480741385702421	0.0596416560862402	0.000955796800171805
130010D1	1	0.636697090744656	0.424185063724483	0.0496849650692705	0.000405328976625933
130011D1	1	0.598968902587561	0.411549330617796	0.0664660021945734	0.0171781883499603
130012D1	1	0.641554298184659	0.383856399693109	0.0440355374871432	0.000583243229202656
130013D1	1	0.67854710258125	0.484235745469104	0.0587607101755461	0.000841555808147612
110001T1	1	0.658428480901403	0.419659355320404	0.0507707036769906	0.000824678860172595
110002T1	1	0.652692116500999	0.344793671270979	0.0493078297203243	0.000772163163472924
110003T1	1	0.630854372129794	0.389705583311755	0.0416147516104691	0.000858048798881504
110004T1	1	0.676715098732379	0.484405699304163	0.0592519131986776	0.000872099870304765
110005T1	1	0.626042544040941	0.390214778136544	0.0583091126835628	0.000923434328602749
110006T1	1	0.572599844281218	0.345288387371417	0.0263325173073117	0.000641651450131795
110007T1	1	0.715100084561681	0.510931738965692	0.0485281285375022	0.000611446746637285
110008T1	1	0.632059472333075	0.442761411467393	0.0552179222002375	0.000456796777515683
110009T1	1	0.744092025165126	0.574981154628204	0.0408940741565895	0.000824302691255683
110010T1	1	0.518549647280779	0.3001590733259	0.0319678475158291	0.000375199518063065
1100011T1	1	0.582932214423784	0.231797976975345	0.0417851760490944	0.000743226624167137
130001D1	1	0.615253611444869	0.436652850055268	0.0598992479923866	0.000893815175820572
130002D1	1	0.59585962633489	0.40676011694042	0.0505590160267209	0.0015527680099284
130003D1	1	0.614501550126807	0.336532671921164	0.0548767576734513	0.00444364111057626
130004D1	1	0.612628625780618	0.416638751353198	0.0491853738143636	0.00107117486626447
130005D1	1	0.745290781525411	0.477207055217692	0.0526895793248404	0.0032929400003564
120012B1	1	0.687587654034743	0.448138910416771	0.0659683504265811	0.000735698097678844
120017B1	1	0.506096557684334	0.265678823296679	0.061722179536617	0.00108112357786001
220026B1	1	0.484481205217156	0.299986832250423	0.0654137062823936	0.00314687619304541
220028B1	1	0.489892596267761	0.283414121743566	0.057957502710287	0.00125354959707218
220029B1	1	0.469997306634977	0.293804486614527	0.0638294075336826	0.00291631497699145
220031B1	1	0.545881156218925	0.320974138960001	0.0533007186653917	0.00129623447071602
320038B1	1	0.655216718400189	0.412551618315564	0.0634695369678809	0.000834746984373543
320039B1	1	0.532867105503529	0.314972107854543	0.0545732213030492	0.000846474982971068
320040B1	1	0.511534755694097	0.333906123302851	0.057557703388007	0.00103811066016604
320041B1	1	0.66734666063643	0.422710647328208	0.0660687864159985	0.000984695732321247
320042B1	1	0.663835538669656	0.386756307778502	0.059403697701648	0.000884871416425051
320043B1	1	0.56253538682937	0.338179606325585	0.0562122792618385	0.000774139233988515
320044B1	1	0.582301759144318	0.366312696535314	0.0629403075534976	0.000775524404797134
320045B1	1	0.601168941644562	0.349629191805938	0.0558063974279692	0.000847129935956028
320049B1	1	0.443909995629863	0.261359842380173	0.0590001650367795	0.000789709067041384
320050B1	1	0.608997236505704	0.368975063120324	0.0634317000387695	0.000790889443473558
320051B1	1	0.615485980346496	0.37341974290591	0.0619729309943646	0.000728957376773748
320053B1	1	0.623708793253989	0.381854935422625	0.0617531770119733	0.000852053105444885
420057B1	1	0.658347139315705	0.428373467264155	0.0665414459482774	0.000693976984314076
420058B1	1	0.580826533323335	0.35266064207965	0.0605028803220039	0.00111949171889747
420059B1	1	0.623262702996497	0.378170094135732	0.0623832071652498	0.000911029077054219
420060B1	1	0.498912565742115	0.30167745439063	0.0573587147838296	0.00105364667822994
620121B1	1	0.541354300139695	0.309958438955995	0.0567274133023632	0.000830089760574899
620124B1	1	0.692012258525457	0.408050536524945	0.0645968283345499	0.00105285480314431
310001T1	1	0.742165642013458	0.546800730102486	0.050286935923778	0.000794170862092527
310002T1	1	0.57105393693293	0.400572792374531	0.036758071701136	0.000703347667333479
310003T1	1	0.512321168799847	0.310233982690303	0.0381227109140995	0.000628728842273227
310004T1	1	0.889611087105173	0.660750689757284	0.0990132482898528	0.00344950486792264
310005T1	1	0.692126876842644	0.497566839379523	0.0597839059723911	0.000621920580760331
310006T1	1	0.834428099239989	0.590988336095822	0.0565220527700794	0.0017012963623242
310007T1	1	0.789276083260265	0.625687071935595	0.0628292839207764	0.00189455659181803
310008T1	1	0.733096124244982	0.499636551129481	0.0661484251398645	0.00222076893367887
310009T1	1	0.842927721246491	0.597922444659126	0.0753498750548853	0.00161141486174983
310010T1	1	0.755879904367706	0.578285389735962	0.0722319291844462	0.000647741634593838
310011T1	1	0.686355754409135	0.484153374987855	0.0452509631311035	0.0009551114984852
310012T1	1	0.736450069868063	0.471049653724796	0.0584476636832256	0.00199431692115497
310013T1	1	0.68442985030058	0.51205177325952	0.0506438875133423	0.000822811288514211
310014T1	1	0.637337096282009	0.419499033524093	0.0472562298843051	0.00125108613850625
310015T1	0.917359842394708	1	0.763319220208995	0.11216294800679	0.00273089200933007
310016T1	1	0.781633368143696	0.567992636519247	0.072492923862604	0.00224173264259384
320001D1	1	0.771857893635273	0.534825089354849	0.0608083603466695	0.00142189175398591
320002D1	1	0.841711157319558	0.586622273778114	0.0647090119470983	0.00201033929239707
320003D1	1	0.800960004925201	0.57237288395168	0.070327295052822	0.00181426833010734
320004D1	1	0.793437983353328	0.501025466803974	0.061889432106874	0.00169054121239794
320005D1	1	0.675010661297259	0.428106470163681	0.056831001707384	0.000648330967787486
320006D1	1	0.779100555301247	0.546831762401659	0.0719603043578672	0.000659207885826691
320007D1	1	0.753839269782071	0.582019346687061	0.0828908794306377	0.000786203671416394
320008D1	1	0.658402360222851	0.425728320475377	0.0571175202411148	0.000690215342133452
820117B1	1	0.676831555722473	0.47833100418704	0.0701011079784769	0.000659668136549635
930001D1	1	0.621795318202332	0.412986002212343	0.0667372919013783	0.00093584917057174
930002D1	1	0.605938316226237	0.400751178349455	0.0680040397549796	0.00101002410116623
930003D1	1	0.690539221946226	0.491751120655044	0.0838451846490519	0.000449877990299305
930004D1	1	0.680655468222361	0.52781836557901	0.0960478441866933	0.000497059127671506
930005D1	1	0.542241911504851	0.329403428437988	0.0556777686492127	0.0014885839780722
930006D1	1	0.62310612877858	0.444703772045542	0.0742594829598665	0.000541659156370372
930007D1	1	0.504149116603373	0.275736876739882	0.046272179409657	0.000817732266236377
930008D1	1	0.633770563590781	0.467386555199327	0.0828633683035924	0.000938398035686547
930009D1	1	0.6315078029872	0.400484073276134	0.0826595490583669	0.000531566766826468
930010D1	1	0.623216724197581	0.326272906796617	0.0831247639735413	0.000515515399490843
310167T3	1	0.609807350366107	0.377010694912801	0.0745260069916736	0.00160914379135876
310168T3	1	0.633786208857825	0.390134969316257	0.0724828822724094	0.000821981622893948
310169T3	1	0.609822686709336	0.360265746740692	0.0698064637144506	0.00110601415358885
310144T3	1	0.466987035727997	0.270214621603504	0.0391869066804523	0.00220801374536429
310336T3	1	0.640350388676617	0.440039270393672	0.0903558347398366	0.00705468047099789
310172T3	1	0.65290307740374	0.423799407951956	0.0797171222857192	0.00891766220569438
310055T3	1	0.605184946764758	0.379381260515468	0.0735896072932395	0.0122493263842774
310054T3	1	0.628409286416042	0.334265687355842	0.0783564267338668	0.024185208232726
310030T3	1	0.575332891185074	0.408581227782215	0.0916130375538823	0.00546079913301374
310194T3	1	0.698468969313524	0.36679185993313	0.0854386185288234	0.0135260896734746
310076T3	1	0.539289035602137	0.33274001786255	0.0820003722976627	0.00422597684123509
310170T3	1	0.536062714151883	0.382622490739743	0.0752849400764209	0.0141261729344253
