construct	time	rep	Fluc	Nluc	rna
hHBB_Nluc_hHBB	12	3	5232.4	20474100	
TEV_Nluc_hHBA1	12	3	5718.67	10649000	
hACTB_Nluc_hHBB	12	3	8212.44	19434000	
mHoxa9_IRES_Nluc_hHBB	12	3	4232.91	605400	
scrUTR_Nluc_hHBB	12	4	4427	3525300	
CoV2_P4_Nluc_hHBB	12	4	8208.44	9271040	
CoV2_Nluc_hHBB	12	4	8701.86	12330500	
CoV2_TTG_Nluc_hHBB	12	4	8387.59	13492900	
mRpl18a_P4_mActb_Nluc_hHBB	12	4	7074.55	17248700	
P4_TEV_mActb_Nluc_hHBB	12	4	8460.65	19737400	
TEV_Nluc_hHBB	12	4	7675	17985400	
hCOL1A2_Nluc_hHBB	12	4	8183.42	12753300	
hHBB_Nluc_hHBB	12	4	4460.01	19561700	
TEV_Nluc_hHBA1	12	4	5303.43	11662700	
hACTB_Nluc_hHBB	12	4	5725.67	15962600	
mHoxa9_IRES_Nluc_hHBB	12	4	3855.76	588118	
scrUTR_Nluc_hHBB	24	1	2250.26	2918560	1.64114729666773
CoV2_P4_Nluc_hHBB	24	1	2944.44	6501300	0.742483154621004
CoV2_Nluc_hHBB	24	1	2366.29	6807220	1.51091815902458
CoV2_TTG_Nluc_hHBB	24	1	3135.5	9286420	1.28681661936449
mRpl18a_P4_mActb_Nluc_hHBB	24	1	2521.32	13336900	1.25568150751941
P4_TEV_mActb_Nluc_hHBB	24	1	2533.33	12782300	2.04212273879206
TEV_Nluc_hHBB	24	1	2226.25	11188700	2.49038137202403
hCOL1A2_Nluc_hHBB	24	1	2402.29	7393540	3.47576527340785
hHBB_Nluc_hHBB	24	1	2778.39	25755100	3.5714107345745
TEV_Nluc_hHBA1	24	1	2504.32	10473800	1.74118793329564
hACTB_Nluc_hHBB	24	1	2835.41	18501700	2.48626726502837
mHoxa9_IRES_Nluc_hHBB	24	1	1949.19	532590	1.76300442021518
scrUTR_Nluc_hHBB	24	2	1918.19	2460880	1.58439322187611
CoV2_P4_Nluc_hHBB	24	2	3534.64	7160910	1.0846536458093
CoV2_Nluc_hHBB	24	2	3587.66	11303800	1.3086428567338
CoV2_TTG_Nluc_hHBB	24	2	3583.65	9583110	1.39046155551339
mRpl18a_P4_mActb_Nluc_hHBB	24	2	3068.48	16283000	2.22496757597913
P4_TEV_mActb_Nluc_hHBB	24	2	2903.43	14744800	2.62310826982209
TEV_Nluc_hHBB	24	2	3001.46	14863700	2.0558132854874
hCOL1A2_Nluc_hHBB	24	2	2380.29	7713170	2.77389215329402
hHBB_Nluc_hHBB	24	2	2908.43	29910000	3.76717664027439
TEV_Nluc_hHBA1	24	2	2488.32	11163000	2.27182121473402
hACTB_Nluc_hHBB	24	2	2664.36	16849700	3.60017971940474
mHoxa9_IRES_Nluc_hHBB	24	2	3245.54	748313	1.65948556198049
scrUTR_Nluc_hHBB	24	3	1543.12	2178230	1.34361916946644
CoV2_P4_Nluc_hHBB	24	3	2816.4	5542660	0.850568074691805
CoV2_Nluc_hHBB	24	3	2750.39	8101100	1.07154352885244
CoV2_TTG_Nluc_hHBB	24	3	2907.43	8808910	0.968009586112861
mRpl18a_P4_mActb_Nluc_hHBB	24	3	2899.43	15387900	1.66944726107682
P4_TEV_mActb_Nluc_hHBB	24	3	2360.28	13440700	2.128007723169
TEV_Nluc_hHBB	24	3	1959.2	11369500	3.25189913154583
hCOL1A2_Nluc_hHBB	24	3	2678.37	9672020	2.81929207393176
hHBB_Nluc_hHBB	24	3	2701.37	26556800	3.27837939766979
TEV_Nluc_hHBA1	24	3	2363.28	12238000	2.53336987998308
hACTB_Nluc_hHBB	24	3	3287.55	21581300	2.86453350558102
mHoxa9_IRES_Nluc_hHBB	24	3	2492.32	690298	1.41147986703304
scrUTR_Nluc_hHBB	24	4	2194.25	2878050	
CoV2_P4_Nluc_hHBB	24	4	3028.47	6140160	
CoV2_Nluc_hHBB	24	4	2198.25	6295440	
CoV2_TTG_Nluc_hHBB	24	4	2514.32	7720760	
mRpl18a_P4_mActb_Nluc_hHBB	24	4	2016.21	11467000	
P4_TEV_mActb_Nluc_hHBB	24	4	1914.19	12362700	
TEV_Nluc_hHBB	24	4	2204.25	11987000	
hCOL1A2_Nluc_hHBB	24	4	1654.14	5888080	
hHBB_Nluc_hHBB	24	4	1964.2	22831200	
TEV_Nluc_hHBA1	24	4	1790.16	8613700	
hACTB_Nluc_hHBB	24	4	3201.52	19267900	
mHoxa9_IRES_Nluc_hHBB	24	4	1916.19	673958	
