id	Ann_short_1	Ann_short_2	Ann_short_3	Ann_short_4	Ann_short_5	Ann_short_6	Ann_short_7	Ann_short_8	Ann_short_9	Ann_short_10
130006D1	27.0003468473096	27.8026767043932	27.8128781756849	28.0909833098878	28.0884749033654	28.3256487820697	27.9476563462722	27.684064165158	27.3395988521972	27.1547771176691
130008D1	30.266679737749	30.6864692297766	30.8678626894357	30.8048334751668	30.8500308928636	30.788213988915	30.4469218214624	30.5552731052379	30.3446536519029	30.1488170622438
130009D1	29.5104129608824	30.0693323979765	30.150571633574	30.2619139545538	30.2325423274352	30.2017823144868	29.7248544431366	29.8865681960091	29.7492752562976	29.6290066950958
130010D1	26.2123393394548	26.4050150918661	26.4256525983463	26.5572927853508	26.1748589866206	26.2108717553942	26.1262918487734	25.9972130479805	26.1266430166003	26.3313025380598
130011D1	25.7581170566151	26.1598118244385	26.7016736481737	27.0326460031634	27.1918724708575	26.9050922132594	26.7477688169671	26.810828866544	26.8374012142557	26.8580822226515
130012D1	26.1936634146944	26.9279912712941	27.2215379720986	27.1500733238003	27.1359313013715	27.0872146535479	27.0438979515904	27.0642859076634	26.9426507396215	26.8433386959403
130013D1	30.37425293719	30.7400957089716	30.930048050399	31.0541607283625	31.025136273105	31.0275007871234	30.7056634250699	30.8335213573499	30.6736618459833	30.4123881188826
110002T1	29.9742539415435	30.416505209086	30.5648743883773	30.4957717957016	30.5755219496456	30.5015463124399	30.0111362399921	30.2358987690611	30.0938900590951	30.0159725847159
110003T1	30.3305794022762	30.7215744965087	30.9290889962836	30.8935093903911	30.9540713127039	30.9152353993188	30.5660949134869	30.7253806455553	30.6056601020277	30.3311239919789
110004T1	30.6486023188151	30.9865809174526	31.1416500762555	31.1608477713156	31.0905052118884	31.0782629478721	30.6642750562745	30.7786016592694	30.3597388731652	29.9429075088137
110005T1	28.7332769282406	29.1662269286685	29.1979122109988	29.2339742443875	29.0148716787805	29.1238820623837	29.069215589669	28.384264804404	28.819632758015	28.4974664157776
110006T1	27.6163171897458	27.7759284346691	27.9482337693343	27.9761418284037	28.0959151145008	28.0636304369756	27.7474379270619	27.8110561078322	27.757719001039	27.8937199815296
110007T1	27.4880746239961	27.8944116392619	27.9811024961419	27.9398343409789	28.0621337015058	27.9212598745664	27.7434620975433	28.1427518038354	27.5871246742155	27.5828800491855
110008T1	26.7356995905075	27.2643566830966	27.1908425127533	27.6514779353884	27.3905320735135	27.1198801711615	27.050273757759	27.3037693757739	27.2486401051853	27.106366170348
110009T1	26.9230904153999	27.5149446687427	27.6134608048219	27.7053069248581	27.951781377439	27.6948581780437	27.5749698931964	27.5894609403135	27.5494971911387	27.4443549843203
1100011T1	30.1951312091448	30.688588813053	30.9034418137562	31.0986132425949	31.1254462264364	31.2590866084771	30.9451098347657	30.8513718682027	31.1141393835537	30.8976315829311
