id	Ann_long_1	Ann_long_2	Ann_long_3	Ann_long_4	Ann_long_5	Ann_long_6	Ann_long_7	Ann_long_8	Ann_long_9	Ann_long_10
130006D1	24.8019332889076	23.9970298715541	24.0281014544559	21.9811297549994	21.0752322317869	20.0642735349402	20.133496279578	19.6897993896288	18.9457071342504	18.5575919185304
130008D1	33.4070170297459	33.6878168043734	33.666262220323	33.182261545151	32.6949453116203	32.1727484452107	31.8107446614258	31.7793825824136	30.333489179438	28.9221685401517
130009D1	32.3479042972927	32.4872197131938	32.4994516805783	31.8490708707096	31.3208294660868	30.7398539897438	30.3331092619848	30.3208947843819	28.1607312017557	26.3137616666904
130010D1	26.6145631530059	26.20588361551	25.8549069857638	24.4481858430577	23.0834056092206	21.8338288661118	20.896706878005	20.4599284701097	18.5546243670349	18.5575919185304
130011D1	25.3494210842101	24.9838868004251	24.3934282219583	23.6240908863679	22.3045131244129	21.2953420419679	21.4404129558892	20.3330642154065	19.590253896665	18.6641759611746
130012D1	26.2579980564465	25.9735641473042	25.5930750494933	23.870769537301	22.6275377590488	21.1141666199392	20.3453676577898	20.4599284701097	18.4418821127328	18.5575919185304
130013D1	33.5525615509909	33.6904080521101	33.6621731078298	33.1434984720576	32.522205281338	31.9092731246428	31.5577514040234	31.5264632450415	29.3875174066978	27.5592373320824
110002T1	31.4809922777503	31.7518978463836	31.6889700323465	31.1619073112601	30.5096955733677	29.8139296089135	29.4566844617622	29.0587504249174	27.4356130170973	25.5313219302843
110003T1	33.3505082324341	33.4682458575488	33.4710700095473	32.9297974448492	32.4724023203569	31.8731028645674	31.5682696004803	31.6337980452115	29.6758828639178	28.0237507553719
110004T1	33.7635437561416	33.9393705333624	33.9215603071635	33.3560364925926	32.7091216758823	32.0476003786432	31.6396440818096	31.5400897249126	29.3684882915524	27.5931920012553
110005T1	32.0217637099564	32.1444840558412	31.9832018606165	31.4865270725978	30.8272320677119	30.3878069933921	30.2712575679361	29.6764826292358	28.6079087700599	27.1288252502528
